"case_id","running_time","total_cost","holding_cost","penalty_cost","machine_cost","skill_cost","best_cluster","bestS","bestEBO","bestServerAssignment","GAP","GAPoolingPercentGAP"
"Case: 0099",167.609478473663,82257.768733183,11095.4865841673,5162.28214901571,60000,6000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[[5, 5, 3, 2, 3, 3, 42, 15, 7, 10]]","[[0.020255194856676935, 0.11030305989489723, 0.0482555722299836, 0.004180437623571746, 0.07214264195495672, 0.06737387331962036, 0.10645087207053737, 0.1851620201933519, 0.04042051500243978, 0.04958321878568302]]","[6]",2418.4296973794,3.0291203892543
"Case: 0100",15210.481726408,171813.824935301,36935.4621576576,10878.3627776432,110000,14000,"[[12], [1, 2, 5, 6, 7, 8, 10, 11, 13, 14, 15, 17, 18, 19, 20], [3, 4, 9, 16]]","[[15], [59, 105, 101, 13, 24, 8, 25, 28, 31, 12, 19, 23, 37, 18, 6], [1, 2, 2, 3]]","[[0.019932911812829177], [0.27035507897926003, 0.9762493633376486, 0.822519528944815, 0.1391702685914273, 0.20187170599161774, 0.00830709038052226, 0.027312803551728132, 0.04649577433020415, 0.25330653156839694, 0.032685654892705855, 0.12752195500384497, 0.17477453797356832, 0.1510501678423972, 0.1784463886963782, 0.044085942711292125], [0.007759845887744411, 0.01603029384151629, 0.008733267139059694, 0.018991171438191585]]","[1, 9, 1]",1091.26853219114,0.639205829143304
"Case: 0101",997.70338010788,75112.3218539419,8433.46188348749,6678.85997045441,50000,10000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]","[[5, 3, 5, 1, 9, 10, 10, 1, 3, 8, 5, 33, 3, 8, 3, 10, 4, 1, 0, 7]]","[[0.09481292372459273, 0.039025277181762824, 0.011669098966620495, 0.01268372862083311, 0.05725466489044744, 0.11892053927258027, 0.266259915504958, 0.02096390286509796, 0.007707496511563828, 0.03832024047393669, 0.008886388140898278, 0.0871792622343452, 0.026176661144120986, 0.034619923871398416, 0.059980566681036004, 0.1858580227297094, 0.038773058189539474, 0.041941377657319354, 0.03837963998105922, 0.05348909933553376]]","[5]",6354.11786358154,9.24125049059218
"Case: 0102",643.259931087494,102505.159819059,14339.8504154613,4165.30940359728,80000,4000,"[[1, 3, 4, 6, 9], [2, 5, 7, 8, 10]]","[[1, 2, 6, 3, 1], [3, 26, 17, 10, 1]]","[[0.0149582980804546, 0.016364328960676765, 0.026170393811252794, 0.059122296567551164, 0.03187990596033457], [0.009675188579602829, 0.01868885737040631, 0.00935090416120085, 0.023256021245437446, 0.01739118665011114]]","[2, 6]",-3425.92740172306,-3.23410954386104
"Case: 0103",536.309962749481,66862.2170063221,10644.0719803324,4018.1450259897,50000,2200,"[[6, 8, 10], [1, 2, 3, 4, 5, 7], [9]]","[[2, 1, 0], [6, 4, 3, 1, 5, 4], [16]]","[[0.005072101964118609, 0.022899741882567524, 0.042631775648239986], [0.00900027444589796, 0.012342020300157712, 0.02033818128582156, 0.013224704483371747, 0.0140853345100059, 0.010535143614686701], [0.031427918565024984]]","[1, 3, 1]",1562.29534903444,2.39249191941425
"Case: 0104",5351.41579627991,119195.726505997,24005.99950235,7589.72700364672,80000,7600,"[[3, 6, 7, 11, 13, 16, 19, 20], [1, 2, 4, 5, 8, 9, 10, 12, 14, 15, 17, 18]]","[[6, 4, 7, 9, 2, 6, 6, 5], [3, 1, 2, 4, 1, 2, 4, 2, 2, 5, 1, 2]]","[[0.016099319056140916, 0.024086709461294372, 0.01600489782348003, 0.02049637603817284, 0.020557974016824992, 0.005700212439532457, 0.023188387181287556, 0.010807355605741918], [0.019916047948568397, 0.022727548368099485, 0.013199242115108948, 0.018104512379129623, 0.006441603696972273, 0.008071529876384102, 0.014546788814694175, 0.008233137169348979, 0.0125589291379617, 0.01823798652637762, 0.05087051688548123, 0.01698842737895741]]","[5, 3]",-7762.73183321764,-6.11438728444288
"Case: 0105",705.858240604401,543797.959453557,44434.995740022,19362.9637135353,400000,80000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]","[[3, 5, 1, 10, 4, 23, 4, 1, 4, 16, 4, 2, 1, 2, 2, 7, 2, 4, 6, 31]]","[[0.07972369787543271, 0.02985023105737402, 0.02252562945258598, 0.05558678012447921, 0.04232517051079427, 0.10029126700074122, 0.12171050582299127, 0.02609070457441585, 0.01819497158215407, 0.23538391595477598, 0.018562676839593676, 0.03873047117343587, 0.02660471172782205, 0.011009922055210937, 0.019982363800541067, 0.03681214326238921, 0.02581676088450076, 0.008920537557881492, 0.07797744962996854, 0.0289165336835246]]","[4]",-27132.3814508687,-4.75231030950073
"Case: 0106",544.153300285339,868423.933325083,33646.7930362541,9777.14028882861,800000,25000,"[[3, 4, 10], [1, 2, 5, 7, 8], [6, 9]]","[[4, 16, 12], [5, 1, 3, 3, 3], [10, 22]]","[[0.018357643270514548, 0.005077394680388458, 0.10637229662474515], [0.043560876779328184, 0.04043279400280591, 0.0018457937135687075, 0.011645627658805186, 0.019706398981626724], [0.05183691715059715, 0.09831392798564768]]","[3, 2, 3]",-98601.6491381454,-10.1963847623333
"Case: 0107",84.97514128685,494832.074767843,41143.4136162447,13688.6611515987,400000,40000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[[27, 10, 3, 5, 5, 15, 10, 7, 4, 6]]","[[0.13003012659083968, 0.03769569583329989, 0.028256017159918424, 0.040839179356566724, 0.07153610195939988, 0.032792650334608237, 0.03852418517329023, 0.10262657992069943, 0.008102228693228615, 0.09423832177128949]]","[4]",12621.5430590546,2.61743413490538
"Case: 0108",7523.14781093597,953487.271001204,64372.2700248231,21115.0009763813,800000,68000,"[[1, 2, 5, 6, 7, 8, 9, 10, 12, 13, 19, 20], [3, 4, 11, 15, 16, 17], [14, 18]]","[[3, 5, 5, 3, 1, 2, 7, 3, 5, 3, 4, 5], [5, 5, 4, 28, 7, 4], [7, 8]]","[[0.014306843557435174, 0.03218790844929991, 0.027159051113618885, 0.005670317506623564, 0.018905516655140023, 0.004579799518579071, 0.06984222371527414, 0.035810183061140165, 0.01526205309405514, 0.026348619983559824, 0.03193586656419288, 0.047768724545941645], [0.014162387845299579, 0.03242271998483388, 0.00988354422489734, 0.03549592908260689, 0.06654463896295927, 0.04010459796437345], [0.011408762803014522, 0.030848563776189726]]","[4, 3, 1]",-156528.921808442,-14.1014989531135
