,CIE_SA,MSSA,MSSA_Inner,MSSA_Adaptive,Flexible,Dedicated,VNS_Kmedian,VNS,Kmedian1,Kmedian2,Kmedian3,Kmedian4,GA2
105,564015.32,543797.96,543797.96,543797.96,543797.96,2040962.98,543797.96,652685.93,543797.96,543797.96,541868.9,543797.96,680191.39
106,868423.93,868423.93,868423.93,875178.47,978244.88,1270906.47,868423.93,868423.93,963684.79,921870.72,933882.09,963684.79,877029.04
107,457354.06,494832.07,494832.07,494832.07,494832.07,1228132.81,494832.07,542802.07,494832.07,494832.07,494832.07,494832.07,525957.11
108,982771.4,965860.68,961922.85,959819.4,1066321.89,2079875.8,953487.27,1003745.75,1066321.89,1066321.89,1043206.81,1066321.89,1184160.93
109,581078.69,596548.65,596548.65,635959.66,652987.09,2139302.29,596042.36,657150.07,652987.09,652987.09,652987.09,652987.09,744657.89
110,1066834.73,1015147.3,1015147.3,1015147.3,1137327.36,1446863.68,1015147.3,1066834.73,1015147.3,1125534.47,1117445.37,1015147.3,1100993.95
111,557748.79,557748.79,558669.06,558669.06,592134.27,1146082.23,558669.06,557748.79,573783.78,592134.27,592134.27,573783.78,564900.33
112,1062866.22,1033746.86,1027968.69,1047362.37,1124996.84,2261113.87,1037003.61,1091693.92,1117235.2,1124996.84,1082410.51,1117235.2,1206601.7
113,114388.64,111256.19,114844.81,112192.07,158827.3,245967.15,116207.51,120706.24,127754.16,142470.28,121146.79,127754.16,126932.52
114,162934.58,162934.58,162934.58,163280.35,226244.12,191172.93,162934.58,162934.58,176277.5,178210.43,174007.03,176277.5,163027.31
115,94955.23,92760.85,94955.23,92760.85,156486.81,144846.62,94955.23,94955.23,124016.24,127902.38,117275.56,124016.24,96282.9
116,182896.7,182814.34,188504.8,190337.2,311134.25,294070.89,190192.23,190132.86,250500.44,224951.34,210743.83,250500.44,205298.52
117,112968.69,111607.32,111607.32,120561.64,223519.47,235647.46,128618.58,127636.97,151158.3,147459.18,144481.19,151158.3,126807.38
118,161279.72,161279.72,161279.72,161499.2,257514.62,189819.13,161279.72,161279.72,177712.4,183997.06,188436.93,177712.4,162258.27
